"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"822","Case Western Reserve University","Biomedical Engineering",36000,1.8,"2022-2023","1st","$36,000",NA,NA,NA,NA,"biomed"
"823","University of Delaware","Civil Engineering",27400,NA,"2022-2023","4th","$29,000",NA,NA,"$1,600",NA,"civil engineering"
"824","University of Arizona (U of A)","Gender and Women's Studies",19200,0.93,"2022-2023","1st",NA,"$20,000",NA,"$800",NA,"gender studies"
"825","Temple University (TU)","Business",33000,1.37,"2022-2023","1st","$33,000",NA,NA,NA,NA,"business"
"826","Wesleyan University","Physics",38263,1.52,"2022-2023","2nd","$38,263",NA,NA,NA,"All STEM graduate students receive the same amount of stipend. 80% of the health insurance is paid for by the university. Graduate student housing is available, which is excellent and relatively cheap.","physics"
"827","Loyola University Chicago (LUC)","Philosophy",27450,1.13,"2022-2023","1st",NA,"$28,000",NA,"$550","The stipend includes health insurance (+ dental) as well as the tuition waiver. The mandatory fees include the heavily discounted U-PASS which allows me to use public transportation while enrolled, among other administrative charges. I'm able to pay for a place for myself and save enough to cover for the summer.","philosophy"
"828","Rice University","Civil and Environmental Engineering",26000,1.19,"2022-2023","6th and up","$28,000",NA,NA,"$2,000",NA,"environment"
"829","Northwestern University (NU)","Civil Engineering",34500,1.42,"2022-2023","2nd","$35,000",NA,NA,"$500",NA,"civil engineering"
"830","Rice University","CS",36000,1.65,"2022-2023","1st","$36,000",NA,NA,NA,NA,"computer science"
"831","University of California - Los Angeles (UCLA)","Electrical engineering",32000,1.24,"2022-2023","1st","$33,000",NA,NA,"$1,000",NA,"electrical engineering"
"832","California Institute of Technology (Caltech)","Physics",38500,1.49,"2022-2023","1st","$38,500",NA,NA,NA,NA,"physics"
"833","Stony Brook University - SUNY","Sociology",22000,0.79,"2022-2023","1st",NA,"$22,000",NA,NA,NA,"sociology"
"834","Stony Brook University - SUNY","Sociology",22455,0.8,"2022-2023","3rd",NA,"$22,500",NA,"$45",NA,"sociology"
"835","University of Central Florida (UCF)","Mechanical engineering",15800,0.68,"2022-2023","3rd","$19,000",NA,NA,"$3,200",NA,"mechanical engineering"
"836","University of Wisconsin - Madison (UW)","Horticulture",27500,1.2,"2021-2022","1st","$27,500",NA,NA,NA,NA,"horticulture"
"837","University of Washington (UW)","Earth and Space Sciences",31620,1.36,"2022-2023","3rd","$32,320",NA,NA,"$700",NA,"earth science"
"838","Rochester Institute of Technology (RIT)","Microsystems Engineering",29333,1.37,"2022-2023","2nd","$29,333",NA,NA,NA,NA,"microsystems engineering"
"839","University of Iowa (UI)","Clinical psychology",26400,1.19,"2022-2023",NA,"$27,000",NA,NA,"$600",NA,"psychology"
"840","West Virginia University (WVU)","psychology",16000,0.72,"2021-2022","1st","$16,000",NA,NA,NA,NA,"psychology"
"841","St Jude Graduate School of Biomedical Sciences","PhD Biomedical Sciences",47840,NA,"2022-2023","3rd","$47,840",NA,NA,NA,"Stipend was increased 4% for AY 2022-2023 after the Graduate Student Association petitioned for an increase due to skyrocketing inflation. If you are awarded an NIH F31, you receive a stipend supplement of $4000/yr (up to 3 years).","biomed"
"842","University of California - Berkeley","Physics",40000,1.44,"2022-2023","6th and up","$40,000",NA,NA,NA,NA,"physics"
"843","University of California - Berkeley","Chemistry",37711,1.36,"2022-2023","6th and up","$37,711",NA,NA,NA,"Dept pays fees","chemistry"
"844","Purdue University - West Lafayette","Agricultural Sciences Education and Communication",25200,1.19,"2022-2023","3rd","$26,700",NA,NA,"$1,500","Before prelims I made $24,500","education"
"845","Purdue University - West Lafayette","Agricultural Sciences Education and Communication",25200,1.19,"2022-2023","3rd","$26,700",NA,NA,"$1,500","Before prelims I made $24,500","education"
"846","University of Iowa","Immunology",31500,NA,"2022-2023","1st","$31,500",NA,NA,NA,NA,"imnunology"
"847","Texas A&amp;M; University - College Station","Sociology",18000,NA,"2022-2023","1st",NA,"$18,000",NA,NA,NA,"sociology"
"848","Florida International University (FIU)","Environmental Health Sciences",24093,1.01,"2022-2023","2nd","$25,400",NA,NA,"$1,307",NA,"environment"
"849","University of Washington (UW)","Mechanical Engineering",33768,1.45,"2022-2023","2nd","$33,768",NA,NA,NA,"Does not include extra $1000 for teaching","mechanical engineering"
"850","University of California - Los Angeles (UCLA)","Political Science",31000,1.2,"2022-2023","3rd",NA,"$27,000","$4,000",NA,NA,"political science"
"851","University of California - Santa Barbara (UCSB)","Physics",39928,1.52,"2022-2023","5th","$39,928",NA,NA,NA,NA,"physics"
"852","University of Texas Southwestern Medical Center - Dallas","Basic Biological Sciences",37000,1.72,"2022-2023","1st","$37,000",NA,NA,NA,NA,"biology"
"853","Duke University (DU)","Sociology",33660,1.51,"2022-2023","1st","$33,660",NA,NA,NA,"Recent one-time, university-wide $1,000 stipend increase.  Also recent announcement of increased annual stipend next academic year to $38,600.","sociology"
"854","University of Utah","Neuroscience",32000,1.44,"2022-2023","4th","$32,000",NA,NA,NA,"Students are guaranteed a $3k annual bonus for receiving an external fellowship. Students can negotiate to earn an additional $2k annual bonus from their PI for receiving an external fellowship","neuroscience"
"855","Florida State University (FSU)","Eoas",28000,1.2,"2022-2023","1st","$28,000",NA,NA,NA,"Around 65$ is deducted from 5 paychecks in each sem as student contribution to health insurance. Similarly he semester wise 990 fees can be broken into 5 pay checks each semester","eoas"
"856","Purdue University - West Lafayette","Earth, Atmospheric, and Planetary Sciences",25000,1.18,"2022-2023","2nd",NA,"$21,000","$4,000",NA,"Summer funding sometimes changes - depends on funding availability. We are also only paid for 2 months out of the summer and the remaining month is ""unpaid vacation,"" but we are often still expected to have completed 3 months of work by the end of the summer.","earth science"
"857","University of North Carolina - Chapel Hill (UNC)","Biochemistry",30000,1.35,"2022-2023","5th","$30,000",NA,NA,NA,NA,"chemistry"
"858","University of California - Los Angeles (UCLA)","Chemistry",34000,1.31,"2022-2023","2nd","$34,000",NA,NA,NA,NA,"chemistry"
"859","Texas Christian University (TCU)","Biology",16500,0.76,"2022-2023","1st",NA,"$16,500",NA,NA,NA,"biology"
"860","University of Michigan - Ann Arbor (UM)","Psychology",28000,1.21,"2022-2023","2nd","$28,000",NA,NA,NA,NA,"psychology"
"861","University of Birmingham (UK)","Metallurgy and Materials",20221,NA,"2022-2023","1st","$20,961",NA,NA,"$740","Adjusted from GBP to USD","material science"
"862","Binghamton University - SUNY","Psychology",24000,1.16,"2022-2023","6th and up",NA,"$24,000",NA,NA,NA,"psychology"
"863","University at Buffalo - SUNY","Chemical and biological engineering",39000,1.86,"2022-2023","1st","$39,000",NA,NA,NA,"$29k is departmental base pay, $10k is from an additional university fellowship. ~1.5k in fees are covered. Health insurance available, monthly premium is <$25 and varies slightly depending on if TA or RA.","chemistry"
"864","University of Kansas (KU)","School of Public Affairs and Administration",22950,1.12,"2022-2023","2nd",NA,"$19,950","$3,000",NA,"$19k stipend + tuition + fees are covered; health, dental/vision insurance not covered","school of public affairs and administration"
"865","University of Cincinnati (UC)","Immunology",35000,1.81,"2022-2023","4th","$35,000",NA,NA,NA,"PhD program: $33,000 gross pre-qual, $35,000 gross post-qual. Health insurance and fees covered by program","imnunology"
"866","University of Houston (UH)","Earth and Atmospheric Sciences",18300,0.84,"2022-2023",NA,NA,"$18,900",NA,"$600",NA,"earth science"
"867","University of Texas - Austin (UT)","Geology",23000,1.01,"2022-2023","5th",NA,"$23,000",NA,NA,NA,"geoscience"
"868","Purdue University - West Lafayette","Agriculture economics",23000,1.09,"2022-2023",NA,"$23,000",NA,NA,NA,NA,"economics"
"869","University of Texas - Austin (UT)","Astronomy",34000,1.49,"2022-2023","6th and up","$34,000",NA,NA,NA,NA,"astronomy"
"870","University of California - San Diego (UCSD)","Scripps Institution of Oceanography",35000,1.32,"2022-2023","4th","$35,000",NA,NA,NA,NA,"marine sciences"
"871","Washington University in St. Louis (Wash U)","Earth and Planetary Sciences",34500,1.67,"2022-2023","4th","$35,000",NA,NA,"$500",NA,"earth science"
"872","University of California - Santa Barbara (UCSB)","Computer Science",27000,1.03,"2022-2023","2nd","$27,000",NA,NA,NA,NA,"computer science"
"873","University of California - Berkeley","EPS",43000,1.55,"2022-2023","4th","$43,000",NA,NA,NA,NA,"eps"
"874","University of California - Santa Barbara (UCSB)","Interdepartmental Graduate Program in Marine Science",33246,1.27,"2022-2023","1st",NA,"$23,246","$10,000",NA,"$23,246 for 9 months and guaranteed $10,000 summer salary for at least the first year. Includes insurance, fees and tuition are covered","marine sciences"
"875","University of Wisconsin - Madison (UW)","Chemistry",27392,1.2,"2022-2023","2nd","$29,192",NA,NA,"$1,800",NA,"chemistry"
"876","University of California - San Diego (UCSD)","Scripps Institution of Oceanography",34000,1.28,"2022-2023","3rd","$34,000",NA,NA,NA,NA,"marine sciences"
"877","University of California - Santa Barbara (UCSB)","Biological Engineering",36000,1.37,"2022-2023","1st","$36,000",NA,NA,NA,NA,"biology"
"878","Michigan State University (MSU)","Chemistry",28208,1.38,"2022-2023","4th","$28,208",NA,NA,NA,NA,"chemistry"
"879","University of Pennsylvania","Chemistry",37000,1.53,"2022-2023","5th","$37,000",NA,NA,NA,NA,"chemistry"
"880","University of California - San Diego (UCSD)","Scripps Institution of Oceanogrpahy (SIO)",34985,1.32,"2022-2023","4th","$35,000",NA,NA,"$15","Full tuition remission, healthcare, vision, and dental.","marine sciences"
"881","University of California - San Diego (UCSD)","Scripps Institution of Oceanogrpahy (SIO)",34985,1.32,"2022-2023","4th","$35,000",NA,NA,"$15","Full tuition remission, healthcare, vision, and dental.","marine sciences"
"882","Texas A&amp;M; University - College Station","Kinesiology & Sports Management",21000,NA,"2022-2023","5th",NA,"$15,750","$5,250",NA,NA,"kinesiology"
"883","University of California - Davis (UCD)","Physics",27400,1.14,"2022-2023",NA,"$28,000",NA,NA,"$600",NA,"physics"
"884","University of Oregon (UO)","Earth Sciences",24000,1.14,"2022-2023","4th","$24,000",NA,NA,NA,NA,"earth science"
"885","University of Virginia (UVA)","Materials Science",29853,1.31,"2022-2023","3rd","$29,853",NA,NA,NA,"Standard annual stipends are:
28083 starting pay
30083 after passing qualifying exam
31083 after passing dissertation proposal

All graduate students received a 7% ""cost of living increase"" raise starting summer of 2022. I receive an additional internal fellowship. Health insurance (excluding dental) is provided at no cost.","material science"
"886","University of Oregon (UO)","Earth Sciences",27506,1.31,"2022-2023","4th","$27,689",NA,NA,"$183",NA,"earth science"
"887","University of Oregon (UO)","Earth Sciences",27507,1.31,"2022-2023","4th","$27,690",NA,NA,"$183",NA,"earth science"
"888","University of Oregon (UO)","Earth Sciences",23817,1.14,"2022-2023","4th",NA,"$24,000",NA,"$183",NA,"earth science"
"889","Medical College of Wisconsin","Cell Biology, Neurobiology and Anatomy / Neuroscience Doctoral Program",31700,1.48,"2022-2023","4th","$31,700",NA,NA,NA,NA,"biology"
"890","Pennsylvania State University (Penn State)","BMMB",31320,1.39,"2022-2023","2nd","$31,320",NA,NA,NA,NA,"bmmb"
"891","University of Pennsylvania","biomedical graduate studies",37000,1.53,"2022-2023",NA,"$37,000",NA,NA,NA,NA,"biomed"
"892","Brown University","Biomedical Engineering",42000,1.85,"2022-2023","1st","$42,000",NA,NA,NA,NA,"biomed"
"893","University of Central Florida (UCF)","Biomedical Sciences",22900,0.99,"2022-2023","3rd","$25,000",NA,NA,"$2,100",NA,"biomed"
"894","Pennsylvania State University (Penn State)","Plant Pathology",20000,0.89,"2022-2023","3rd","$20,000",NA,NA,NA,NA,"algruiculture"
"895","University of California - Riverside (UCR)","Plant Pathology",30000,1.24,"2022-2023","4th","$30,000",NA,NA,NA,NA,"algruiculture"
"896","University of Tennessee - Knoxville","Department of Agriculture and Resource Economics",20000,0.94,"2022-2023",NA,"$20,000",NA,NA,NA,NA,"economics"
